팀명,순위,승률,RBI,OPS,ERA,HLD,CG,QS,K%,K/BB,WHIP,SB%,OOB,PKO,wOBA,WAR,HLD_st,RBI_st,QS_st
롯데,7,0.497,711,0.761,4.64,59,1,59,18.021,2.242,1.41,74.4,52,3,0.343,19.79,-0.287,0.289,0.229
삼성,8,0.46,658,0.732,4.78,80,3,53,16.54,1.718,1.47,72.9,42,14,0.329,11.12,1.125,-0.305,-0.29
SSG,9,0.357,595,0.712,5.57,53,1,47,16.577,1.422,1.6,64.3,44,16,0.32,5.61,-0.69,-1.012,-0.809
한화,10,0.326,523,0.658,5.28,54,1,40,17.702,1.673,1.59,58.6,43,4,0.303,-3.89,-0.623,-1.819,-1.415
KT,1,0.563,673,0.737,3.67,74,2,76,19.767,2.172,1.32,70.9,48,5,0.342,20.57,0.722,-0.137,1.7
두산,2,0.522,698,0.74,4.26,61,2,55,18.541,1.78,1.48,68.6,46,10,0.341,20.08,-0.152,0.144,-0.117
삼성,3,0.563,669,0.743,4.3,80,2,66,18.773,1.958,1.45,72.5,46,7,0.338,18.69,1.125,-0.182,0.834
LG,4,0.554,621,0.71,3.57,81,0,50,19.565,1.96,1.31,73.0,43,15,0.33,14.06,1.193,-0.72,-0.55
키움,5,0.511,671,0.723,4.31,56,1,57,16.098,1.59,1.46,78.9,39,3,0.335,17.68,-0.489,-0.159,0.056
SSG,6,0.508,712,0.774,4.82,56,0,42,17.738,1.609,1.51,69.9,42,3,0.352,27.05,-0.489,0.301,-1.242
NC,7,0.496,670,0.759,4.54,80,3,53,18.902,1.782,1.48,68.7,39,9,0.345,21.72,1.125,-0.17,-0.29
롯데,8,0.478,697,0.755,5.37,76,1,46,18.283,1.599,1.57,65.9,54,8,0.347,23.46,0.856,0.132,-0.896
KIA,9,0.433,546,0.673,4.89,94,1,39,16.707,1.529,1.5,70.2,46,8,0.317,6.84,2.067,-1.561,-1.502
한화,10,0.371,554,0.675,4.65,62,1,41,17.951,1.502,1.49,66.1,59,14,0.318,6.65,-0.085,-1.472,-1.329
SSG,1,0.629,682,0.732,3.87,68,1,78,18.536,2.239,1.29,71.5,42,4,0.332,21.86,0.318,-0.036,1.873
키움,2,0.563,578,0.697,3.79,84,2,71,18.145,2.061,1.34,75.9,42,8,0.32,15.86,1.394,-1.202,1.267
LG,3,0.613,674,0.742,3.33,107,0,59,19.007,2.286,1.27,68.9,46,10,0.338,24.88,2.941,-0.126,0.229
KT,4,0.563,588,0.705,3.51,65,1,81,19.877,2.951,1.25,72.4,38,6,0.32,15.41,0.117,-1.09,2.132
KIA,5,0.49,677,0.747,4.2,74,0,64,18.64,1.981,1.42,75.2,57,5,0.339,26.27,0.722,-0.092,0.661
NC,6,0.475,613,0.709,3.9,54,0,58,20.953,2.268,1.36,71.9,56,7,0.323,17.09,-0.623,-0.81,0.142
삼성,7,0.465,627,0.721,4.29,71,1,63,17.197,2.031,1.44,77.1,50,6,0.325,18.81,0.52,-0.653,0.575
롯데,8,0.457,570,0.711,4.45,69,0,58,21.188,2.437,1.46,61.0,54,6,0.321,15.11,0.386,-1.292,0.142
두산,9,0.423,592,0.689,4.45,68,0,54,17.228,1.76,1.48,69.2,55,4,0.314,11.9,0.318,-1.045,-0.204
한화,10,0.324,520,0.671,4.83,81,1,37,17.156,1.618,1.51,65.5,49,6,0.308,8.0,1.193,-1.853,-1.675
LG,1,0.606,714,0.755,3.67,92,0,50,17.497,1.99,1.36,62.2,78,15,0.35,27.48,1.932,0.323,-0.55
KT,2,0.56,621,0.709,3.94,61,0,64,17.532,2.344,1.35,74.4,54,5,0.329,17.27,-0.152,-0.72,0.661
SSG,3,0.539,611,0.725,4.37,71,1,57,16.883,1.592,1.53,77.4,43,10,0.333,19.59,0.52,-0.832,0.056
NC,4,0.528,642,0.732,3.83,88,0,53,19.997,2.125,1.31,70.7,53,8,0.339,22.25,1.663,-0.485,-0.29
두산,5,0.521,565,0.705,3.92,70,0,64,18.241,2.022,1.36,73.5,52,11,0.325,15.29,0.453,-1.348,0.661
KIA,6,0.514,673,0.735,4.13,66,1,46,17.667,1.738,1.42,78.2,41,6,0.338,22.96,0.184,-0.137,-0.896
롯데,7,0.472,608,0.7,4.15,82,1,66,18.999,2.011,1.46,70.6,42,12,0.326,15.28,1.26,-0.866,0.834
삼성,8,0.427,603,0.702,4.6,69,1,63,15.948,1.938,1.47,74.6,56,10,0.325,15.44,0.386,-0.922,0.575
한화,9,0.42,568,0.674,4.38,68,0,40,18.325,2.002,1.4,75.3,35,7,0.315,9.62,0.318,-1.315,-1.415
키움,10,0.411,576,0.684,4.42,61,1,68,16.963,1.808,1.45,83.1,37,7,0.319,12.24,-0.152,-1.225,1.008
