타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명
138.0,0.221,29.0,2.0,37.0,9.0,3.0,7.0,0.0,0.282,0.239,정보근
157.0,0.219,30.0,2.0,42.0,13.0,15.0,13.0,0.0,0.307,0.297,노진혁
83.0,0.211,16.0,0.0,21.0,14.0,2.0,6.0,3.0,0.276,0.268,김민석
84.0,0.2,14.0,2.0,25.0,6.0,10.0,8.0,0.0,0.357,0.321,김민성
171.0,0.197,30.0,6.0,58.0,24.0,13.0,21.0,0.0,0.382,0.271,손성빈
155.0,0.191,26.0,5.0,44.0,11.0,9.0,20.0,0.0,0.324,0.275,유강남
389.0,0.301,105.0,3.0,130.0,52.0,31.0,35.0,4.0,0.372,0.365,황영묵
533.0,0.3,142.0,13.0,202.0,64.0,49.0,66.0,3.0,0.427,0.37,안치홍
151.0,0.292,40.0,1.0,54.0,16.0,10.0,11.0,1.0,0.394,0.349,하주석
472.0,0.291,120.0,12.0,180.0,59.0,45.0,61.0,5.0,0.436,0.363,김태연
52.0,0.286,12.0,0.0,15.0,4.0,9.0,4.0,1.0,0.357,0.423,박상언
244.0,0.286,60.0,2.0,83.0,37.0,25.0,22.0,3.0,0.395,0.367,최인호
289.0,0.277,72.0,5.0,107.0,29.0,24.0,47.0,3.0,0.412,0.34,문현빈
374.0,0.277,93.0,1.0,112.0,49.0,26.0,46.0,6.0,0.333,0.332,이도윤
522.0,0.275,125.0,24.0,221.0,75.0,63.0,70.0,7.0,0.486,0.364,페라자
601.0,0.272,143.0,24.0,239.0,88.0,60.0,89.0,6.0,0.454,0.356,노시환
51.0,0.271,13.0,4.0,28.0,10.0,3.0,9.0,0.0,0.583,0.314,권광민
498.0,0.271,118.0,20.0,202.0,61.0,49.0,83.0,1.0,0.463,0.351,채은성
327.0,0.263,76.0,9.0,119.0,56.0,29.0,44.0,14.0,0.412,0.335,장진혁
348.0,0.257,72.0,4.0,94.0,34.0,33.0,37.0,0.0,0.336,0.371,최재훈
152.0,0.239,32.0,1.0,39.0,10.0,7.0,16.0,0.0,0.291,0.287,이재원
143.0,0.237,31.0,1.0,36.0,11.0,10.0,7.0,0.0,0.275,0.301,김인환
154.0,0.233,31.0,0.0,37.0,26.0,16.0,13.0,8.0,0.278,0.322,이원석
87.0,0.224,17.0,1.0,20.0,5.0,8.0,7.0,0.0,0.263,0.322,김강민
103.0,0.204,19.0,1.0,28.0,20.0,8.0,13.0,0.0,0.301,0.282,이진영
78.0,0.172,11.0,1.0,19.0,10.0,13.0,6.0,2.0,0.297,0.312,정은원
64.0,0.158,9.0,0.0,16.0,10.0,6.0,7.0,0.0,0.281,0.25,임종찬
362.0,0.344,111.0,13.0,175.0,58.0,33.0,53.0,4.0,0.542,0.409,박건우
