타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명,사진
348.0,0.305,95.0,10.0,150.0,43.0,27.0,48.0,3.0,0.482,0.36,라모스,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52025.jpg
154.0,0.302,38.0,1.0,46.0,20.0,19.0,11.0,0.0,0.365,0.395,김재호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/74206.jpg
15.0,0.286,4.0,0.0,6.0,0.0,1.0,1.0,1.0,0.429,0.333,홍성호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66233.jpg
608.0,0.284,145.0,4.0,184.0,95.0,71.0,47.0,52.0,0.361,0.376,정수빈,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/79231.jpg
552.0,0.283,134.0,29.0,249.0,78.0,63.0,92.0,1.0,0.525,0.368,김재환,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/78224.jpg
566.0,0.28,146.0,18.0,248.0,81.0,32.0,81.0,16.0,0.476,0.328,강승호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/63123.jpg
283.0,0.278,70.0,5.0,95.0,31.0,22.0,31.0,0.0,0.377,0.337,김기연,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66112.jpg
262.0,0.277,64.0,3.0,84.0,39.0,22.0,23.0,16.0,0.364,0.341,이유찬,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/67207.jpg
382.0,0.265,87.0,0.0,96.0,60.0,33.0,30.0,64.0,0.293,0.334,조수행,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66209.jpg
4.0,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.25,0.25,윤준호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/53296.jpg
4.0,0.25,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.25,장규빈,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/50244.jpg
276.0,0.246,61.0,2.0,74.0,34.0,17.0,32.0,7.0,0.298,0.301,전민재,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/68205.jpg
593.0,0.246,131.0,34.0,260.0,83.0,49.0,107.0,5.0,0.488,0.316,양석환,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64153.jpg
212.0,0.226,42.0,7.0,76.0,25.0,21.0,28.0,2.0,0.409,0.313,박준영,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66928.jpg
20.0,0.222,4.0,0.0,4.0,2.0,2.0,1.0,0.0,0.222,0.3,서예일,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66203.jpg
8.0,0.2,1.0,1.0,4.0,1.0,3.0,2.0,0.0,0.8,0.5,김민혁,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/65269.jpg
20.0,0.2,3.0,0.0,4.0,5.0,5.0,0.0,1.0,0.267,0.4,박계범,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64468.jpg
5.0,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,안승한,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64011.jpg
